SourceName,gravity,conc_HCOplus__c_factor_gaussian,spec_HCOplus__Integ_Beam
DG-Tau,328.39,0.8709,0.377
Elia32,279.04,0.6636,5.856
Elia33,293.87,0.7261,5.538
GV_Tau,325.76,0.767,2.376
IRAS03260+3111B,316.0,0.6522,4.723
IRAS03301+3111,332.23,0.6989,0.339
IRAS04113+2758S,314.49,0.6903,0.36
IRAS04181+2655S,375.12,0.6417,1.394
IRAS04369+2539,,0.7717,0.352
IRAS04591-0856,326.07,0.7147,1.023
IRAS05256+3049,,0.7101,1.361
IRS5,308.42,0.7564,15.841
OphIRS63,325.0,0.7968,0.68
T-Tauri,345.0,0.7212,21.886
V347Aur,294.12,0.7984,0.526
