SourceName,gravity,Envelope_status,indices__spectral_index,indices__corr_spectral_index_lit,spectral_index_SED,spectral_index_corrected_SED,Tbol
DG-Tau,3.2839,yes,-0.032,-0.136,-0.005,-0.112,863.822
Elia32,2.7904,yes,0.027,-0.295,-0.263,-0.427,95.74
Elia33,2.9387,yes,-0.012,-0.333,-0.373,-0.561,535.206
GV_Tau,3.2576,yes,0.97,0.585,0.912,0.483,360.997
IRAS03301+3111,3.3223000000000003,yes,0.321,0.127,0.26,0.111,540.905
IRAS04113+2758S,3.1449000000000003,yes,-0.393,-0.946,-0.32,-0.72,519.16
IRAS04591-0856,3.2607,yes,0.435,0.435,0.535,0.287,185.014
IRS5,3.0842,yes,0.786,0.526,0.708,0.584,442.67
OphIRS63,3.25,yes,0.309,-0.013,0.198,-0.047,324.747
T-Tauri,3.45,yes,0.094,0.053,0.243,0.192,1207.723
V347Aur,2.9412000000000003,yes,-0.218,-0.218,-0.142,-0.177,1150.142
